"sampleID","cell_type"
"cell_2595","patient14","Tcell"
"cell_2596","patient14","Tcell"
"cell_2597","patient14","Macro"
"cell_2598","patient14","Bcell"
"cell_2599","patient14","Tcell"
"cell_2600","patient14","Macro"
"cell_2601","patient14","Bcell"
"cell_2602","patient14","Bcell"
"cell_2603","patient14","Macro"
"cell_2604","patient14","malignant"
"cell_2605","patient14","Tcell"
"cell_2606","patient14","Bcell"
"cell_2607","patient14","Tcell"
"cell_2608","patient14","Macro"
"cell_2609","patient14","Bcell"
"cell_2610","patient14","Tcell"
"cell_2611","patient14","Bcell"
"cell_2612","patient14","Bcell"
"cell_2613","patient14","malignant"
"cell_2614","patient14","malignant"
"cell_2615","patient14","Bcell"
"cell_2616","patient14","Bcell"
"cell_2617","patient14","Tcell"
"cell_2618","patient14","Tcell"
"cell_2619","patient14","Tcell"
"cell_2620","patient14","Bcell"
"cell_2621","patient14","Tcell"
"cell_2622","patient14","malignant"
"cell_2623","patient14","Tcell"
"cell_2624","patient14","Macro"
"cell_2625","patient14","Bcell"
"cell_2626","patient14","Bcell"
"cell_2627","patient14","Macro"
"cell_2628","patient14","Tcell"
"cell_2629","patient14","malignant"
"cell_2630","patient14","Tcell"
"cell_2631","patient14","Tcell"
"cell_2632","patient14","malignant"
"cell_2633","patient14","Tcell"
"cell_2634","patient14","Macro"
"cell_2635","patient14","Bcell"
"cell_2636","patient14","Bcell"
"cell_2637","patient14","Tcell"
"cell_2638","patient14","Macro"
"cell_2639","patient14","Bcell"
"cell_2640","patient14","Tcell"
"cell_2641","patient14","Tcell"
"cell_2642","patient14","Macro"
"cell_2643","patient14","Bcell"
"cell_2644","patient14","Tcell"
"cell_2645","patient14","malignant"
"cell_2646","patient14","Tcell"
"cell_2647","patient14","Tcell"
"cell_2648","patient14","Bcell"
"cell_2649","patient14","Tcell"
"cell_2650","patient14","Bcell"
"cell_2651","patient14","Tcell"
"cell_2652","patient14","Tcell"
"cell_2653","patient14","Bcell"
"cell_2654","patient14","Tcell"
"cell_2655","patient14","Tcell"
"cell_2656","patient14","Tcell"
"cell_2657","patient14","Bcell"
"cell_2658","patient14","Tcell"
"cell_2659","patient14","Tcell"
"cell_2660","patient14","Tcell"
"cell_2661","patient14","Tcell"
"cell_2662","patient14","Tcell"
"cell_2663","patient14","Tcell"
"cell_2664","patient14","Tcell"
"cell_2665","patient14","Tcell"
"cell_2666","patient14","malignant"
"cell_2667","patient14","Tcell"
"cell_2668","patient14","Bcell"
"cell_2669","patient14","Tcell"
"cell_2670","patient14","Bcell"
"cell_2671","patient14","Bcell"
"cell_2672","patient14","Tcell"
"cell_2673","patient14","Bcell"
"cell_2674","patient14","Macro"
"cell_2675","patient14","Bcell"
"cell_2676","patient14","Bcell"
"cell_2677","patient14","Bcell"
"cell_2678","patient14","Tcell"
"cell_2679","patient14","malignant"
"cell_2680","patient14","Bcell"
"cell_2681","patient14","Tcell"
"cell_2682","patient14","Tcell"
"cell_2683","patient14","Bcell"
"cell_2684","patient14","Macro"
"cell_2685","patient14","malignant"
"cell_2686","patient14","Bcell"
"cell_2687","patient14","Tcell"
"cell_2688","patient14","Tcell"
"cell_2689","patient14","Bcell"
"cell_2690","patient14","Bcell"
"cell_2691","patient14","Tcell"
"cell_2692","patient14","Tcell"
"cell_2693","patient14","Tcell"
"cell_2694","patient14","malignant"
"cell_2695","patient14","Tcell"
"cell_2696","patient14","Tcell"
"cell_2697","patient14","Macro"
"cell_2698","patient14","Tcell"
"cell_2699","patient14","Tcell"
"cell_2700","patient14","Bcell"
"cell_2701","patient14","Tcell"
"cell_2702","patient14","Tcell"
"cell_2703","patient14","Bcell"
"cell_2704","patient14","Bcell"
"cell_2705","patient14","Bcell"
"cell_2706","patient14","Tcell"
"cell_2707","patient14","Macro"
"cell_2708","patient14","Bcell"
"cell_2709","patient14","Tcell"
"cell_2710","patient14","Tcell"
"cell_2711","patient14","Bcell"
"cell_2712","patient14","Tcell"
"cell_2713","patient14","Macro"
"cell_2714","patient14","Macro"
"cell_2715","patient14","Endo"
"cell_2716","patient14","Tcell"
"cell_2717","patient14","malignant"
"cell_2718","patient14","malignant"
"cell_2719","patient14","Tcell"
"cell_2720","patient14","malignant"
"cell_2721","patient14","Tcell"
"cell_2722","patient14","Tcell"
"cell_2723","patient14","Bcell"
"cell_2724","patient14","malignant"
"cell_2725","patient14","malignant"
"cell_2726","patient14","malignant"
"cell_2727","patient14","malignant"
"cell_2728","patient14","Tcell"
"cell_2729","patient14","Tcell"
"cell_2730","patient14","malignant"
"cell_2731","patient14","Tcell"
"cell_2732","patient14","Bcell"
"cell_2733","patient14","malignant"
"cell_2734","patient14","malignant"
"cell_2735","patient14","malignant"
"cell_2736","patient14","malignant"
"cell_2737","patient14","Tcell"
"cell_2738","patient14","malignant"
"cell_2739","patient14","Bcell"
"cell_2740","patient14","malignant"
"cell_2741","patient14","malignant"
"cell_2742","patient14","malignant"
"cell_2743","patient14","malignant"
"cell_2744","patient14","malignant"
"cell_2745","patient14","Tcell"
"cell_2746","patient14","Tcell"
"cell_2747","patient14","malignant"
"cell_2748","patient14","malignant"
"cell_2749","patient14","malignant"
"cell_2750","patient14","malignant"
"cell_2751","patient14","malignant"
"cell_2752","patient14","malignant"
"cell_2753","patient14","malignant"
"cell_2754","patient14","Bcell"
"cell_2755","patient14","Macro"
"cell_2756","patient14","Tcell"
"cell_2757","patient14","Bcell"
"cell_2758","patient14","Tcell"
"cell_2759","patient14","malignant"
"cell_2760","patient14","malignant"
"cell_2761","patient14","malignant"
"cell_2762","patient14","malignant"
"cell_2763","patient14","Tcell"
"cell_2764","patient14","Tcell"
"cell_2765","patient14","malignant"
"cell_2766","patient14","Tcell"
"cell_2767","patient14","malignant"
"cell_2768","patient14","Tcell"
"cell_2769","patient14","malignant"
"cell_2770","patient14","malignant"
"cell_2771","patient14","NK"
"cell_2772","patient14","Tcell"
"cell_2773","patient14","malignant"
"cell_2774","patient14","Bcell"
"cell_2775","patient14","malignant"
"cell_2776","patient14","malignant"
"cell_2777","patient14","Tcell"
"cell_2778","patient14","malignant"
"cell_2779","patient14","malignant"
"cell_2780","patient14","Bcell"
"cell_2781","patient14","malignant"
"cell_2782","patient14","Tcell"
"cell_2783","patient14","Bcell"
"cell_2784","patient14","malignant"
"cell_2785","patient14","Bcell"
"cell_2786","patient14","malignant"
"cell_2787","patient14","Bcell"
"cell_2788","patient14","malignant"
"cell_2789","patient14","Tcell"
"cell_2790","patient14","Tcell"
"cell_2791","patient14","Bcell"
"cell_2792","patient14","malignant"
"cell_2793","patient14","malignant"
"cell_2794","patient14","Bcell"
"cell_2795","patient14","Tcell"
"cell_2796","patient14","Tcell"
"cell_2797","patient14","Tcell"
"cell_2798","patient14","malignant"
"cell_2799","patient14","malignant"
"cell_2800","patient14","malignant"
"cell_2801","patient14","malignant"
"cell_2802","patient14","malignant"
"cell_2803","patient14","Bcell"
"cell_2804","patient14","malignant"
"cell_2805","patient14","Tcell"
"cell_2806","patient14","Bcell"
"cell_2807","patient14","malignant"
"cell_2808","patient14","malignant"
"cell_2809","patient14","Bcell"
"cell_2810","patient14","Tcell"
"cell_2811","patient14","malignant"
"cell_2812","patient14","malignant"
"cell_2813","patient14","malignant"
"cell_2814","patient14","malignant"
"cell_2815","patient14","Bcell"
"cell_2816","patient14","malignant"
"cell_2817","patient14","malignant"
"cell_2818","patient14","Tcell"
"cell_2819","patient14","Bcell"
"cell_2820","patient14","malignant"
"cell_2821","patient14","malignant"
"cell_2822","patient14","malignant"
"cell_2823","patient14","malignant"
"cell_2824","patient14","Bcell"
"cell_2825","patient14","malignant"
"cell_2826","patient14","Bcell"
"cell_2827","patient14","Tcell"
"cell_2828","patient14","Macro"
"cell_2829","patient14","malignant"
"cell_2830","patient14","Tcell"
"cell_2831","patient14","malignant"
"cell_2832","patient14","Bcell"
"cell_2833","patient14","Tcell"
"cell_2834","patient14","Tcell"
"cell_2835","patient14","Tcell"
"cell_2836","patient14","malignant"
"cell_2837","patient14","malignant"
"cell_2838","patient14","Macro"
"cell_2839","patient14","malignant"
"cell_2840","patient14","Tcell"
"cell_2841","patient14","Bcell"
"cell_2842","patient14","malignant"
"cell_2843","patient14","malignant"
"cell_2844","patient14","Bcell"
"cell_2845","patient14","Tcell"
"cell_2846","patient14","malignant"
"cell_2847","patient14","malignant"
"cell_2848","patient14","Bcell"
"cell_2849","patient14","malignant"
"cell_2850","patient14","Tcell"
"cell_2851","patient14","malignant"
"cell_2852","patient14","Tcell"
"cell_2853","patient14","Tcell"
"cell_2854","patient14","malignant"
"cell_2855","patient14","malignant"
"cell_2856","patient14","Bcell"
"cell_2857","patient14","malignant"
"cell_2858","patient14","malignant"
"cell_2859","patient14","Tcell"
"cell_2860","patient14","malignant"
"cell_2861","patient14","malignant"
"cell_2862","patient14","malignant"
"cell_2863","patient14","malignant"
"cell_2864","patient14","malignant"
"cell_2865","patient14","malignant"
"cell_2866","patient14","Macro"
"cell_2867","patient14","Bcell"
"cell_2868","patient14","malignant"
"cell_2869","patient14","Bcell"
"cell_2870","patient14","malignant"
"cell_2871","patient14","Tcell"
"cell_2872","patient14","malignant"
"cell_2873","patient14","Tcell"
"cell_2874","patient14","malignant"
"cell_2875","patient14","malignant"
"cell_2876","patient14","malignant"
"cell_2877","patient14","malignant"
"cell_2878","patient14","malignant"
"cell_2879","patient14","malignant"
"cell_2880","patient14","malignant"
"cell_2881","patient14","Tcell"
"cell_2882","patient14","malignant"
"cell_2883","patient14","Tcell"
"cell_2884","patient14","Bcell"
"cell_2885","patient14","malignant"
"cell_2886","patient14","Bcell"
"cell_2887","patient14","Tcell"
"cell_2888","patient14","Tcell"
"cell_2889","patient14","malignant"
"cell_2890","patient14","Bcell"
"cell_2891","patient14","malignant"
"cell_2892","patient14","malignant"
"cell_2893","patient14","malignant"
"cell_2894","patient14","malignant"
"cell_2895","patient14","Tcell"
"cell_2896","patient14","malignant"
"cell_2897","patient14","malignant"
"cell_2898","patient14","malignant"
"cell_2899","patient14","Tcell"
"cell_2900","patient14","malignant"
"cell_2901","patient14","malignant"
"cell_2902","patient14","malignant"
"cell_2903","patient14","malignant"
"cell_2904","patient14","Tcell"
"cell_2905","patient14","malignant"
"cell_2906","patient14","malignant"
"cell_2907","patient14","malignant"
"cell_2908","patient14","Tcell"
"cell_2909","patient14","Bcell"
"cell_2910","patient14","malignant"
"cell_2911","patient14","Bcell"
"cell_2912","patient14","malignant"
"cell_2913","patient14","Tcell"
"cell_2914","patient14","Bcell"
"cell_2915","patient14","Bcell"
"cell_2916","patient14","Tcell"
"cell_2917","patient14","malignant"
"cell_2918","patient15","malignant"
"cell_2919","patient15","malignant"
"cell_2920","patient15","Tcell"
"cell_2921","patient15","malignant"
"cell_2922","patient15","Bcell"
"cell_2923","patient15","CAF"
"cell_2924","patient15","malignant"
"cell_2925","patient15","malignant"
"cell_2926","patient15","Tcell"
"cell_2927","patient15","malignant"
"cell_2928","patient15","Bcell"
"cell_2929","patient15","malignant"
"cell_2930","patient15","malignant"
"cell_2931","patient15","Tcell"
"cell_2932","patient15","Tcell"
"cell_2933","patient15","Tcell"
"cell_2934","patient15","CAF"
"cell_2935","patient15","malignant"
"cell_2936","patient15","Endo"
"cell_2937","patient15","malignant"
"cell_2938","patient15","Tcell"
"cell_2939","patient15","Tcell"
"cell_2940","patient15","malignant"
"cell_2941","patient15","Tcell"
"cell_2942","patient15","Endo"
"cell_2943","patient15","Tcell"
"cell_2944","patient15","malignant"
"cell_2945","patient15","Tcell"
"cell_2946","patient15","malignant"
"cell_2947","patient15","Tcell"
"cell_2948","patient15","malignant"
"cell_2949","patient15","Tcell"
"cell_2950","patient15","malignant"
"cell_2951","patient15","Tcell"
"cell_2952","patient15","Tcell"
"cell_2953","patient15","Tcell"
"cell_2954","patient15","malignant"
"cell_2955","patient15","Tcell"
"cell_2956","patient15","Tcell"
"cell_2957","patient15","Endo"
"cell_2958","patient15","Tcell"
"cell_2959","patient15","Endo"
"cell_2960","patient15","malignant"
"cell_2961","patient15","Tcell"
"cell_2962","patient15","Tcell"
"cell_2963","patient15","Bcell"
"cell_2964","patient15","Tcell"
"cell_2965","patient15","malignant"
"cell_2966","patient15","Bcell"
"cell_2967","patient15","Bcell"
"cell_2968","patient15","Bcell"
"cell_2969","patient15","malignant"
"cell_2970","patient15","malignant"
"cell_2971","patient15","Tcell"
"cell_2972","patient15","Tcell"
"cell_2973","patient15","Bcell"
"cell_2974","patient15","malignant"
"cell_2975","patient15","Bcell"
"cell_2976","patient15","Bcell"
"cell_2977","patient15","Tcell"
"cell_2978","patient15","CAF"
"cell_2979","patient15","malignant"
"cell_2980","patient15","Tcell"
"cell_2981","patient15","malignant"
"cell_2982","patient15","malignant"
"cell_2983","patient15","Bcell"
"cell_2984","patient15","Tcell"
"cell_2985","patient15","Tcell"
"cell_2986","patient15","Tcell"
"cell_2987","patient15","malignant"
"cell_2988","patient15","Tcell"
"cell_2989","patient15","malignant"
"cell_2990","patient15","malignant"
"cell_2991","patient15","malignant"
"cell_2992","patient15","Tcell"
"cell_2993","patient15","Tcell"
"cell_2994","patient15","Bcell"
"cell_2995","patient15","malignant"
"cell_2996","patient15","Endo"
"cell_2997","patient15","malignant"
"cell_2998","patient15","Tcell"
"cell_2999","patient15","CAF"
"cell_3000","patient15","Tcell"
"cell_3001","patient15","Tcell"
"cell_3002","patient15","Tcell"
"cell_3003","patient15","Tcell"
"cell_3004","patient15","Tcell"
"cell_3005","patient15","Tcell"
"cell_3006","patient15","malignant"
"cell_3007","patient15","Bcell"
"cell_3008","patient15","malignant"
"cell_3009","patient15","Tcell"
"cell_3010","patient15","malignant"
"cell_3011","patient15","malignant"
"cell_3012","patient15","malignant"
"cell_3013","patient15","malignant"
"cell_3014","patient15","Tcell"
"cell_3015","patient15","Tcell"
"cell_3016","patient15","Endo"
"cell_3017","patient15","Tcell"
"cell_3018","patient15","Tcell"
"cell_3019","patient15","Bcell"
"cell_3020","patient15","Macro"
"cell_3021","patient15","Bcell"
"cell_3022","patient15","Tcell"
"cell_3023","patient15","malignant"
"cell_3024","patient15","Tcell"
"cell_3025","patient15","Tcell"
"cell_3026","patient15","Tcell"
"cell_3027","patient15","CAF"
"cell_3028","patient15","malignant"
"cell_3029","patient15","Tcell"
"cell_3030","patient15","malignant"
"cell_3031","patient15","Bcell"
"cell_3032","patient15","malignant"
"cell_3033","patient15","Tcell"
"cell_3034","patient15","CAF"
"cell_3035","patient15","malignant"
"cell_3036","patient15","Endo"
"cell_3037","patient15","Tcell"
"cell_3038","patient15","Tcell"
"cell_3039","patient15","malignant"
"cell_3040","patient15","Tcell"
"cell_3041","patient15","Bcell"
"cell_3042","patient15","malignant"
"cell_3043","patient15","malignant"
"cell_3044","patient15","malignant"
"cell_3045","patient15","malignant"
"cell_3046","patient15","malignant"
"cell_3047","patient15","Tcell"
"cell_3048","patient15","malignant"
"cell_3049","patient15","CAF"
"cell_3050","patient15","malignant"
"cell_3051","patient15","malignant"
"cell_3052","patient15","Tcell"
"cell_3053","patient15","malignant"
"cell_3054","patient15","malignant"
"cell_3055","patient15","Tcell"
"cell_3056","patient15","Bcell"
"cell_3057","patient15","Tcell"
"cell_3058","patient15","Tcell"
"cell_3059","patient15","malignant"
"cell_3060","patient15","Tcell"
"cell_3061","patient15","malignant"
"cell_3062","patient15","Tcell"
"cell_3063","patient15","Tcell"
"cell_3064","patient15","Bcell"
"cell_3065","patient15","Bcell"
"cell_3066","patient15","Tcell"
"cell_3067","patient15","Tcell"
"cell_3068","patient15","CAF"
"cell_3069","patient15","Endo"
"cell_3070","patient15","malignant"
"cell_3071","patient15","malignant"
"cell_3072","patient15","Tcell"
"cell_3073","patient15","Bcell"
"cell_3074","patient15","Tcell"
"cell_3075","patient15","Tcell"
"cell_3076","patient15","malignant"
"cell_3077","patient15","malignant"
"cell_3078","patient15","malignant"
"cell_3079","patient15","malignant"
"cell_3080","patient15","Tcell"
"cell_3081","patient15","malignant"
"cell_3082","patient15","Tcell"
"cell_3083","patient15","Tcell"
"cell_3084","patient15","Tcell"
"cell_3085","patient15","Bcell"
"cell_3086","patient15","malignant"
"cell_3087","patient15","Tcell"
"cell_3088","patient15","Bcell"
"cell_3089","patient15","malignant"
"cell_3090","patient15","malignant"
"cell_3091","patient15","Tcell"
"cell_3092","patient15","malignant"
"cell_3093","patient15","malignant"
"cell_3094","patient15","Bcell"
"cell_3095","patient15","Tcell"
"cell_3096","patient15","Bcell"
"cell_3097","patient15","Tcell"
"cell_3098","patient15","Tcell"
"cell_3099","patient15","Tcell"
"cell_3100","patient15","malignant"
"cell_3101","patient15","Tcell"
"cell_3102","patient15","malignant"
"cell_3103","patient15","Tcell"
"cell_3104","patient15","Bcell"
"cell_3105","patient15","Bcell"
"cell_3106","patient15","Tcell"
"cell_3107","patient15","Bcell"
"cell_3108","patient15","malignant"
"cell_3109","patient15","malignant"
"cell_3110","patient15","malignant"
"cell_3111","patient15","malignant"
"cell_3112","patient15","Tcell"
"cell_3113","patient15","CAF"
"cell_3114","patient15","Tcell"
"cell_3115","patient15","Tcell"
"cell_3116","patient15","Tcell"
"cell_3117","patient15","Bcell"
"cell_3118","patient15","Bcell"
"cell_3119","patient15","Tcell"
"cell_3120","patient15","Bcell"
"cell_3121","patient15","malignant"
"cell_3122","patient15","Bcell"
"cell_3123","patient15","Tcell"
"cell_3124","patient15","malignant"
"cell_3125","patient15","Tcell"
"cell_3126","patient15","malignant"
"cell_3127","patient15","Tcell"
"cell_3128","patient15","Bcell"
"cell_3129","patient15","CAF"
"cell_3130","patient15","Tcell"
"cell_3131","patient15","malignant"
"cell_3132","patient15","Tcell"
"cell_3133","patient15","Tcell"
"cell_3134","patient15","malignant"
"cell_3135","patient15","malignant"
"cell_3136","patient15","Bcell"
"cell_3137","patient15","Tcell"
"cell_3138","patient15","malignant"
"cell_3139","patient15","Bcell"
"cell_3140","patient15","Endo"
"cell_3141","patient15","malignant"
"cell_3142","patient15","Tcell"
"cell_3143","patient15","malignant"
"cell_3144","patient15","Tcell"
"cell_3145","patient15","Tcell"
"cell_3146","patient15","malignant"
"cell_3147","patient15","malignant"
"cell_3148","patient15","Tcell"
"cell_3149","patient15","malignant"
"cell_3150","patient15","Bcell"
"cell_3151","patient15","Bcell"
"cell_3152","patient15","Tcell"
"cell_3153","patient15","Tcell"
"cell_3154","patient15","Tcell"
"cell_3155","patient15","Tcell"
"cell_3156","patient15","malignant"
"cell_3157","patient15","Tcell"
"cell_3158","patient15","Bcell"
"cell_3159","patient15","Tcell"
"cell_3160","patient15","malignant"
"cell_3161","patient15","malignant"
"cell_3162","patient15","Bcell"
"cell_3163","patient15","malignant"
"cell_3164","patient15","Bcell"
"cell_3165","patient15","Tcell"
"cell_3166","patient15","Bcell"
"cell_3167","patient15","malignant"
"cell_3168","patient15","malignant"
"cell_3169","patient15","Tcell"
"cell_3170","patient15","Tcell"
"cell_3171","patient15","Bcell"
"cell_3172","patient15","Bcell"
"cell_3173","patient15","Tcell"
"cell_3174","patient15","Tcell"
"cell_3175","patient15","Tcell"
"cell_3176","patient15","malignant"
"cell_3177","patient15","Tcell"
"cell_3178","patient15","malignant"
"cell_3179","patient15","Bcell"
"cell_3180","patient15","Bcell"
"cell_3181","patient15","Tcell"
"cell_3182","patient15","Bcell"
"cell_3183","patient15","Tcell"
"cell_3184","patient15","Tcell"
"cell_3185","patient15","Bcell"
"cell_3186","patient15","Tcell"
"cell_3187","patient15","Tcell"
"cell_3188","patient15","Tcell"
"cell_3189","patient15","Bcell"
"cell_3190","patient15","malignant"
"cell_3191","patient15","Tcell"
"cell_3192","patient15","malignant"
"cell_3193","patient15","Tcell"
"cell_3194","patient15","Tcell"
"cell_3195","patient15","malignant"
"cell_3196","patient15","Bcell"
"cell_3197","patient15","Tcell"
"cell_3198","patient15","Bcell"
"cell_3199","patient15","Bcell"
"cell_3200","patient15","malignant"
"cell_3201","patient15","Bcell"
"cell_3202","patient15","Bcell"
"cell_3203","patient15","malignant"
"cell_3204","patient15","malignant"
"cell_3205","patient15","Bcell"
"cell_3206","patient15","Bcell"
"cell_3207","patient15","malignant"
"cell_3208","patient15","Tcell"
"cell_3209","patient15","malignant"
"cell_3210","patient15","Bcell"
"cell_3211","patient15","Tcell"
"cell_3212","patient15","malignant"
"cell_3213","patient15","Tcell"
"cell_3214","patient15","Bcell"
"cell_3215","patient15","Tcell"
"cell_3216","patient15","malignant"
"cell_3217","patient15","Tcell"
"cell_3218","patient15","malignant"
"cell_3219","patient15","Tcell"
"cell_3220","patient15","Tcell"
"cell_3221","patient15","NK"
"cell_3222","patient15","Bcell"
"cell_3223","patient15","Bcell"
"cell_3224","patient15","Tcell"
"cell_3225","patient15","Bcell"
"cell_3226","patient15","malignant"
"cell_3227","patient15","Bcell"
"cell_3228","patient15","Bcell"
"cell_3229","patient15","Tcell"
"cell_3230","patient15","malignant"
"cell_3231","patient15","malignant"
"cell_3232","patient15","Endo"
"cell_3233","patient15","malignant"
"cell_3234","patient15","malignant"
"cell_3235","patient15","malignant"
"cell_3236","patient15","malignant"
"cell_3237","patient15","CAF"
"cell_3238","patient15","malignant"
"cell_3239","patient15","CAF"
"cell_3240","patient15","Bcell"
"cell_3241","patient15","malignant"
"cell_3242","patient15","malignant"
"cell_3243","patient15","malignant"
"cell_3244","patient15","Endo"
"cell_3245","patient15","malignant"
"cell_3246","patient15","malignant"
"cell_3247","patient15","Tcell"
"cell_3248","patient15","Endo"
"cell_3249","patient15","CAF"
"cell_3250","patient15","Endo"
"cell_3251","patient15","Tcell"
"cell_3252","patient15","Endo"
"cell_3253","patient15","malignant"
"cell_3254","patient15","Endo"
"cell_3255","patient15","malignant"
"cell_3256","patient15","CAF"
"cell_3257","patient15","Endo"
"cell_3258","patient15","Endo"
"cell_3259","patient15","malignant"
"cell_3260","patient15","malignant"
"cell_3261","patient15","Endo"
"cell_3262","patient15","Bcell"
"cell_3263","patient15","malignant"
"cell_3264","patient15","Macro"
"cell_3265","patient15","malignant"
"cell_3266","patient15","malignant"
"cell_3267","patient15","malignant"
"cell_3268","patient15","malignant"
"cell_3269","patient15","malignant"
"cell_3270","patient15","malignant"
"cell_3271","patient15","Endo"
"cell_3272","patient15","malignant"
"cell_3273","patient15","malignant"
"cell_3274","patient15","malignant"
"cell_3275","patient15","Bcell"
"cell_3276","patient15","CAF"
"cell_3277","patient15","Tcell"
"cell_3278","patient15","CAF"
"cell_3279","patient15","malignant"
"cell_3280","patient15","Bcell"
"cell_3281","patient15","malignant"
